,appellation,bdod_0-100cm,bdod_0-5cm,bdod_5-15cm,bdod_15-30cm,bdod_30-60cm,bdod_60-100cm,bdod_100-200cm,cec_0-100cm,cec_0-5cm,cec_5-15cm,cec_15-30cm,cec_30-60cm,cec_60-100cm,cec_100-200cm,cfvo_0-100cm,cfvo_0-5cm,cfvo_5-15cm,cfvo_15-30cm,cfvo_30-60cm,cfvo_60-100cm,cfvo_100-200cm,clay_0-100cm,clay_0-5cm,clay_5-15cm,clay_15-30cm,clay_30-60cm,clay_60-100cm,clay_100-200cm,nitrogen_0-100cm,nitrogen_0-5cm,nitrogen_5-15cm,nitrogen_15-30cm,nitrogen_30-60cm,nitrogen_60-100cm,nitrogen_100-200cm,ocd_0-100cm,ocd_0-5cm,ocd_5-15cm,ocd_15-30cm,ocd_30-60cm,ocd_60-100cm,ocd_100-200cm,ocs_0-30cm,phh2o_0-100cm,phh2o_0-5cm,phh2o_5-15cm,phh2o_15-30cm,phh2o_30-60cm,phh2o_60-100cm,phh2o_100-200cm,sand_0-100cm,sand_0-5cm,sand_5-15cm,sand_15-30cm,sand_30-60cm,sand_60-100cm,sand_100-200cm,silt_0-100cm,silt_0-5cm,silt_5-15cm,silt_15-30cm,silt_30-60cm,silt_60-100cm,silt_100-200cm,soc_0-100cm,soc_0-5cm,soc_5-15cm,soc_15-30cm,soc_30-60cm,soc_60-100cm,soc_100-200cm
39,Sonoma Coast,145.7,116,129,136,150,154,156,180.8,212,182,178,175,182,198,39.5,30,40,20,30,55,55,200.64999999999998,197,194,204,192,208,205,77.5,232,146,94,64,45,36,121.64999999999999,358,323,177,87,47,24,52,5.402059991327963,5.9,5.9,5.800000000000001,5.800000000000001,5.800000000000001,5.800000000000001,441.75,439,439,436,455,435,477,319.2,348,331,350,322,299,251,98.6,433,221,121,73,37,18
40,Sonoma County,145.0,120,130,140,150,150,150,184.4,208,190,180,180,185,190,105.5,120,140,140,95,90,110,262.8,192,204,248,272,285,298,84.7,543,138,81,52,40,36,121.6,352,329,164,91,48,29,55,5.202059991327963,5.9,5.9,5.800000000000001,5.7,5.6000000000000005,5.7,352.4,389,378,363,353,337,337,371.65,412,412,389,365,355,346,110.95,434,269,151,79,40,27
41,Sonoma Mountain,137.55,117,126,130,140,144,146,194.0,240,220,190,185,190,190,82.25,70,110,75,75,85,105,286.2,218,233,254,293,315,315,69.30000000000001,218,133,90,52,40,36,130.6,408,354,180,98,46,27,57,5.302059991327963,5.7,5.7,5.7,5.7,5.7,5.800000000000001,338.45000000000005,376,354,349,341,324,315,336.75,379,375,354,328,322,317,95.5,294,241,132,71,39,21
42,Sonoma Valley,145.8,130,133,140,150,150,150,217.85000000000002,222,202,195,195,247,243,73.0,70,100,70,70,70,80,200.35000000000002,174,192,211,192,208,200,71.69999999999999,224,138,82,56,44,40,112.3,355,236,163,87,51,30,42,5.6020599913279625,6.1000000000000005,6.1000000000000005,6.0,6.0,6.0,6.0,324.7,357,347,343,317,314,305,380.1,405,395,391,391,361,316,79.60000000000001,331,182,101,51,36,17
43,Spring Mountain District,135.35,111,120,132,140,140,144,196.3,228,225,196,190,190,190,157.65,140,150,141,155,170,170,314.5,242,264,280,320,345,337,66.0,214,146,80,49,35,35,120.10000000000002,353,352,153,93,41,27,64,5.502059991327963,6.0,6.0,6.0,6.0,5.9,5.800000000000001,302.75,349,340,318,296,287,291,378.95,405,401,404,380,360,360,101.85000000000001,382,250,151,69,36,26
44,St Helena,151.3,148,155,156,150,150,150,247.95,243,241,250,250,248,234,9.7,10,16,10,7,10,20,223.90000000000003,236,214,222,226,224,206,75.75,218,127,89,64,49,40,119.45,344,222,155,92,73,36,36,5.6020599913279625,6.0,6.0,6.0,6.0,6.0,6.2,246.89999999999998,257,243,259,243,245,258,331.6,338,349,340,340,317,315,74.19999999999999,243,155,87,53,44,19
45,Sta Rita Hills,154.8,141,150,157,156,156,160,259.95,241,253,258,273,255,234,10.0,10,10,10,10,10,0,267.0,246,241,250,281,272,215,71.25,200,123,89,56,47,32,101.25,227,191,142,85,60,34,37,7.002059991327963,6.6000000000000005,6.7,6.800000000000001,7.1000000000000005,7.4,7.5,321.9,330,331,326,314,323,373,338.54999999999995,350,350,343,342,330,300,48.199999999999996,180,110,60,36,21,10
46,Stags Leap District,149.5,140,150,150,150,150,150,234.05,210,195,195,232,263,232,39.5,30,70,40,30,40,65,264.04999999999995,220,226,275,276,266,236,72.7,224,121,80,62,47,38,113.25,327,222,158,90,60,37,40,5.802059991327963,6.1000000000000005,6.2,6.2,6.2,6.2,6.4,256.95,265,269,250,247,263,273,407.15,418,423,405,408,402,369,71.94999999999999,258,155,93,56,32,21
47,Walla Walla Valley,142.95,131,134,134,143,150,153,174.9,197,203,195,177,156,156,49.349999999999994,30,30,31,34,75,115,154.8,136,145,152,165,153,144,91.0,220,160,120,80,55,44,82.1,174,128,110,87,45,37,22,7.902059991327963,8.0,8.1,8.1,8.200000000000001,8.3,8.3,491.05,499,498,500,495,482,479,293.34999999999997,325,318,296,279,293,283,84.85,186,177,119,64,52,42
48,Willamette Valley,148.55,133,140,144,153,151,148,196.64999999999998,226,207,199,184,199,206,0.0,0,0,0,0,0,0,251.20000000000002,260,278,260,250,241,192,107.55,265,205,172,104,42,40,146.79999999999998,366,315,286,107,55,24,70,5.902059991327963,5.800000000000001,5.800000000000001,5.9,6.0,6.300000000000001,6.6000000000000005,113.6,115,114,113,113,114,148,608.4000000000001,593,577,603,618,613,589,86.55,202,211,151,73,27,10
49,Yakima Valley,152.8,136,146,158,155,153,153,112.70000000000002,112,119,112,112,112,111,11.5,20,20,10,10,10,10,40.300000000000004,49,50,49,41,33,24,40.699999999999996,100,57,46,37,30,25,63.5,195,117,79,46,41,29,26,7.802059991327964,7.6000000000000005,7.5,7.6000000000000005,8.1,8.200000000000001,8.200000000000001,635.75,647,627,612,611,664,662,216.70000000000002,238,235,230,228,196,184,35.150000000000006,109,68,40,27,22,10
50,Yountville,165.39999999999998,156,164,164,166,167,169,228.4,210,210,206,220,250,235,3.0,10,10,10,0,0,10,256.9,229,232,259,258,265,242,70.05000000000001,200,117,85,60,44,35,114.25,313,210,148,90,71,33,34,6.002059991327963,6.1000000000000005,6.1000000000000005,6.1000000000000005,6.300000000000001,6.4,6.6000000000000005,242.8,259,262,243,240,238,274,333.65000000000003,330,341,357,329,327,319,59.6,210,124,74,48,28,15
